乞闭 碍荐老荐
楷档,1岿,2岿,3岿,4岿,5岿,6岿,7岿,8岿,9岿,10岿,11岿,12岿,楷钦拌,鉴困
1938,5.0,3.0,14.0,5.0,11.0,14.0,10.0,9.0,2.0,12.0,2.0,9.0,96.0,66
1939,4.0,5.0,6.0,7.0,5.0,9.0,10.0,10.0,10.0,6.0,11.0,1.0,84.0,107
1940,3.0,3.0,3.0,8.0,5.0,11.0,17.0,14.0,6.0,7.0,4.0,4.0,85.0,104
1941,4.0,5.0,7.0,7.0,9.0,13.0,13.0,14.0,7.0,4.0,7.0,6.0,96.0,65
1942,5.0,3.0,10.0,5.0,13.0,6.0,5.0,15.0,16.0,5.0,3.0,2.0,88.0,92
1943,1.0,5.0,7.0,5.0,9.0,10.0,14.0,11.0,14.0,4.0,4.0,2.0,86.0,102
1944,3.0,7.0,5.0,10.0,10.0,10.0,9.0,8.0,11.0,6.0,12.0,5.0,96.0,64
1945,3.0,1.0,10.0,5.0,9.0,11.0,15.0,7.0,17.0,7.0,2.0,4.0,91.0,80
1946,1.0,1.0,12.0,8.0,10.0,16.0,8.0,14.0,9.0,6.0,2.0,7.0,94.0,74
1947,8.0,1.0,6.0,7.0,10.0,12.0,23.0,14.0,11.0,4.0,3.0,6.0,105.0,29
1948,6.0,3.0,8.0,10.0,5.0,16.0,20.0,13.0,12.0,4.0,3.0,8.0,108.0,20
1949,4.0,6.0,6.0,8.0,6.0,10.0,12.0,12.0,11.0,5.0,7.0,8.0,95.0,68
1950,9.0,6.0,4.0,7.0,7.0,12.0,13.0,9.0,9.0,8.0,5.0,5.0,94.0,73
1951,6.0,9.0,6.0,9.0,10.0,4.0,12.0,12.0,6.0,6.0,8.0,6.0,94.0,72
1952,3.0,6.0,9.0,10.0,8.0,5.0,16.0,11.0,14.0,7.0,7.0,4.0,100.0,48
1953,4.0,5.0,9.0,2.0,12.0,14.0,14.0,9.0,5.0,9.0,4.0,6.0,93.0,78
1954,10.0,10.0,3.0,8.0,10.0,14.0,15.0,10.0,11.0,8.0,3.0,2.0,104.0,36
1955,4.0,3.0,8.0,8.0,7.0,17.0,13.0,6.0,9.0,3.0,7.0,2.0,87.0,97
1956,3.0,3.0,13.0,8.0,11.0,17.0,13.0,11.0,13.0,3.0,2.0,2.0,99.0,53
1957,7.0,4.0,8.0,11.0,7.0,7.0,23.0,12.0,2.0,5.0,3.0,8.0,97.0,62
1958,9.0,4.0,5.0,12.0,4.0,10.0,14.0,16.0,13.0,9.0,7.0,4.0,107.0,23
1959,4.0,11.0,8.0,11.0,12.0,10.0,13.0,16.0,14.0,2.0,4.0,6.0,111.0,11
1960,4.0,4.0,6.0,6.0,13.0,6.0,12.0,6.0,17.0,4.0,4.0,4.0,86.0,101
