date,temp,rain,snow
0226,4.0,15.0,0
0227,5.2,0.1,0
0228,5.2,0.0,0
0301,5.8,0.0,0
0302,6.4,0.0,0
0303,1.8,0.0,0
0304,2.9,0.0,0
0305,2.2,0.0,0
0306,-0.9,0.0,0
0307,-0.5,0.0,0
0308,3.8,0.0,0
0309,7.9,0.0,0
0310,10.4,13.0,0
0311,7.8,23.1,0
0312,9.4,0.0,0
0313,10.3,0.0,0
0314,9.1,0.0,0
0315,4.7,0.0,0
0316,5.1,0.0,0
0317,9.6,0.0,0
0318,11.6,0.0,0
0319,12.5,0.0,0
0320,12.0,2.2,0
0321,10.5,0.0,0
0322,4.0,0.0,0
0323,7.6,2.7,0
0324,8.6,0.4,0
0325,3.1,0.0,0
0326,4.0,0.0,0
0327,5.1,0.2,0
0328,8.9,0.0,0
0329,10.1,1.0,0
0330,9.4,0.0,0
0331,7.8,0.0,0
0401,9.2,0.0,0
0402,12.2,0.0,0
0403,11.3,0.0,0
0404,10.3,0.0,0
0405,11.4,0.0,0
0406,14.4,0.0,0
0407,16.0,0.0,0
0408,10.5,8.2,0
0409,7.0,9.8,0
0410,6.6,0.2,0
0411,8.2,0.0,0
0412,12.3,0.0,0
0413,12.3,0.0,0
0414,11.9,0.0,0
0415,11.0,11.1,0
0416,11.8,4.0,0
0417,9.5,9.7,0
0418,12.8,0.0,0
0419,14.0,0.0,0
0420,13.9,0.0,0
0421,14.6,0.9,0
0422,15.0,26.3,0
0423,14.9,0.0,0
0424,13.3,0.0,0
0425,16.1,0.0,0
0426,14.4,8.9,0
0427,14.5,0.0,0
0428,12.0,0.0,0
0429,14.5,0.0,0
0430,13.9,0.0,0
0501,13.5,4.5,0
0502,14.3,28.0,0
0503,14.8,0.3,0
0504,14.8,0.0,0
0505,16.4,0.0,0
0506,14.8,1.0,0
0507,15.1,66.2,0
0508,15.5,26.2,0
0509,14.1,0.3,0
0510,16.4,0.0,0
0511,16.8,0.0,0
0512,15.9,31.2,0
0513,20.6,16.6,0
0514,17.6,0.0,0
0515,17.3,4.1,0
0516,17.3,0.2,0
0517,18.1,7.3,0
0518,16.0,0.0,0
0519,15.7,0.0,0
0520,18.1,0.0,0
0521,17.3,0.0,0
0522,15.5,0.0,0
0523,16.5,0.0,0
0524,16.9,0.0,0
0525,16.4,0.0,0
0526,19.5,0.0,0
0527,17.2,50.2,0
0528,14.9,2.9,0
0529,16.6,0.0,0
0530,15.6,0.0,0
0531,15.6,0.0,0
0601,17.3,0.0,0
0602,19.0,0.0,0
0603,20.1,0.0,0
0604,18.2,5.7,0
0605,20.3,0.0,0
0606,17.9,5.5,0
0607,18.2,37.7,0
0608,19.0,0.1,0
0609,17.5,1.3,0
0610,17.5,0.0,0
0611,18.0,0.0,0
0612,19.7,0.0,0
0613,19.9,0.0,0
0614,19.1,0.0,0
0615,17.7,0.0,0
0616,18.6,0.0,0
0617,20.7,0.0,0
0618,20.6,0.9,0
0619,19.2,0.0,0
0620,18.3,32.8,0
0621,18.7,0.3,0
0622,19.0,0.0,0
0623,18.7,0.0,0
0624,17.7,4.3,0
0625,20.6,2.0,0
0626,19.1,0.2,0
0627,20.0,0.0,0
0628,21.3,6.6,0
0629,24.0,6.1,0
0630,23.0,16.8,0
0701,21.5,22.9,0
0702,21.0,1.8,0
0703,21.2,0.0,0
0704,19.2,19.5,0
0705,20.2,0.2,0
0706,20.6,0.5,0
0707,20.0,0.0,0
0708,19.8,1.3,0
0709,21.0,0.2,0
0710,22.1,49.7,0
0711,21.3,0.2,0
0712,20.8,0.1,0
0713,21.3,7.4,0
0714,20.7,0.0,0
0715,20.9,0.0,0
0716,22.0,0.0,0
0717,23.4,13.1,0
0718,24.6,0.0,0
0719,23.8,0.0,0
0720,24.2,0.0,0
0721,23.9,0.0,0
0722,24.4,0.0,0
0723,25.2,0.0,0
0724,26.2,0.0,0
0725,27.2,0.0,0
0726,26.9,0.0,0
0727,26.8,0.0,0
0728,25.8,0.0,0
0729,24.7,0.0,0
0730,25.9,0.0,0
0731,25.8,0.0,0
0801,24.1,15.2,0
0802,25.4,64.3,0
0803,24.8,8.5,0
0804,24.1,17.3,0
0805,24.0,0.4,0
0806,26.0,3.6,0
0807,26.2,4.6,0
0808,22.0,5.2,0
0809,22.8,0.0,0
0810,22.6,0.0,0
0811,23.2,0.0,0
0812,22.9,0.0,0
0813,22.9,0.0,0
0814,24.1,0.0,0
0815,23.5,0.2,0
0816,26.8,3.4,0
0817,25.3,0.0,0
0818,25.7,0.0,0
0819,25.2,0.0,0
0820,25.1,23.7,0
0821,24.7,0.0,0
0822,24.7,1.6,0
0823,25.5,0.0,0
0824,25.0,0.0,0
0825,24.8,0.0,0
0826,24.1,0.0,0
0827,25.8,0.0,0
0828,27.4,0.0,0
0829,27.7,0.0,0
0830,27.1,0.0,0
0831,26.7,28.9,0
0901,26.5,9.0,0
0902,22.4,15.2,0
0903,23.4,1.1,0
0904,21.9,0.0,0
0905,22.5,0.7,0
0906,21.0,2.1,0
0907,22.0,0.0,0
0908,21.4,0.0,0
0909,21.4,3.9,0
0910,20.9,31.7,0
0911,19.7,24.7,0
0912,21.7,5.7,0
0913,22.0,0.1,0
0914,21.1,0.0,0
0915,22.2,0.0,0
0916,22.2,1.9,0
0917,19.3,0.1,0
0918,19.3,0.0,0
0919,19.3,0.0,0
0920,20.7,14.9,0
0921,20.5,2.3,0
0922,21.1,3.7,0
0923,21.7,0.0,0
0924,21.5,0.0,0
0925,20.5,0.0,0
0926,17.9,2.1,0
0927,18.6,0.0,0
0928,18.4,0.0,0
0929,18.4,0.0,0
0930,19.2,0.0,0
1001,18.5,3.7,0
1002,16.2,34.6,0
1003,13.4,0.0,0
1004,11.1,0.0,0
1005,13.6,0.0,0
1006,11.3,0.0,0
1007,12.5,0.0,0
1008,15.1,0.0,0
1009,16.8,0.0,0
1010,18.4,0.0,0
1011,17.0,0.0,0
1012,15.0,0.0,0
1013,16.4,0.0,0
1014,16.4,0.0,0
1015,17.0,0.0,0
1016,17.2,26.3,0
1017,19.1,7.1,0
1018,13.9,0.0,0
1019,13.1,0.0,0
